DIA,HORA,HORIZONTE,PRECIO,SOLAR,DEMANDA,ACCION_REAL,ACCION_IA,SOC_REAL,SOC_IA,DIFERENCIA
800,0,T=1h,40.2544,0.0,0.7868,-0.4285,-0.4256,0.2,0.2044,0.0044
800,1,T=1h,23.5041,0.0,0.942,0.0,-0.0048,0.2,0.1977,0.0023
800,2,T=1h,22.3374,0.0,0.898,0.0,-0.001,0.2,0.201,0.001
800,3,T=1h,13.8331,0.0,1.0304,0.0,-0.0001,0.2,0.1975,0.0025
800,4,T=1h,27.7393,0.0,1.4278,0.0,0.0003,0.2,0.1982,0.0018
800,5,T=1h,12.7073,0.0,1.5814,0.0,0.0003,0.2,0.1999,0.0001
800,6,T=1h,26.3239,0.0,1.5387,0.0,-0.0011,0.2,0.2013,0.0013
800,7,T=1h,25.7771,0.9437,1.7092,0.0,0.0005,0.2,0.2005,0.0005
800,8,T=1h,32.2552,1.8231,1.8257,0.0,0.0005,0.2,0.2003,0.0003
800,9,T=1h,41.8005,2.5782,1.7527,0.0,0.0008,0.2,0.1997,0.0003
800,10,T=1h,48.7529,3.1576,1.9687,0.0,0.0012,0.2,0.1972,0.0028
800,11,T=1h,61.8545,3.5219,1.7887,0.0,-0.0006,0.2,0.1991,0.0009
800,12,T=1h,62.5557,3.6461,1.8562,0.0,0.0004,0.2,0.1998,0.0002
800,13,T=1h,77.4934,3.5219,1.9699,0.0,-0.0018,0.2,0.2009,0.0009
800,14,T=1h,82.7488,3.1576,1.7739,0.0,0.0006,0.2,0.1995,0.0005
800,15,T=1h,86.2517,2.5782,1.6626,0.0,0.0009,0.2,0.2012,0.0012
800,16,T=1h,73.7116,1.8231,1.6432,0.0,-0.0007,0.2,0.2005,0.0005
800,17,T=1h,74.8686,0.9437,1.8014,0.0,-0.0007,0.2,0.1993,0.0007
800,18,T=1h,72.3279,0.0,1.7336,0.0,0.0008,0.2,0.2023,0.0023
800,19,T=1h,66.5983,0.0,1.3657,0.0,-0.0002,0.2,0.1978,0.0022
800,20,T=1h,65.3841,0.0,1.3373,0.0,-0.0002,0.2,0.1989,0.0011
800,21,T=1h,55.9375,0.0,1.0619,0.0,-0.0005,0.2,0.2,0.0
800,22,T=1h,43.1249,0.0,0.7571,0.0,0.0011,0.2,0.2003,0.0003
800,23,T=1h,38.0937,0.0,0.883,0.3,0.301,0.485,0.4829,0.0021
801,0,T=1h,32.2888,0.0,0.9064,-0.244,-0.244,0.2,0.1979,0.0021
801,1,T=1h,25.8137,0.0,1.2076,0.0,0.0017,0.2,0.2005,0.0005
801,2,T=1h,20.4608,0.0,1.4102,0.0,0.0003,0.2,0.1998,0.0002
801,3,T=1h,21.8102,0.0,1.1422,0.0,0.0001,0.2,0.2008,0.0008
801,4,T=1h,14.6695,0.0,1.325,0.0,-0.0001,0.2,0.2005,0.0005
801,5,T=1h,25.0595,0.0,1.3217,0.0,-0.0005,0.2,0.2004,0.0004
801,6,T=1h,23.1504,0.0,1.5797,0.0,0.0008,0.2,0.199,0.001
801,7,T=1h,39.0786,1.6989,1.3321,0.0,-0.0002,0.2,0.1991,0.0009
801,8,T=1h,36.1711,3.2821,1.6713,0.0,-0.0005,0.2,0.1989,0.0011
801,9,T=1h,42.9903,4.6416,1.9621,0.0,-0.0005,0.2,0.1999,0.0001
801,10,T=1h,50.4858,5.6847,1.8018,0.0,-0.0008,0.2,0.2005,0.0005
801,11,T=1h,58.4946,6.3405,2.0661,0.0,0.0003,0.2,0.1996,0.0004
801,12,T=1h,69.7363,6.5642,2.078,0.0,-0.0001,0.2,0.1993,0.0007
801,13,T=1h,72.8907,6.3405,2.0698,0.0,0.001,0.2,0.1994,0.0006
801,14,T=1h,81.189,5.6847,1.8569,0.0,-0.0004,0.2,0.2002,0.0002
801,15,T=1h,81.4229,4.6416,1.9683,0.0,-0.0007,0.2,0.1989,0.0011
801,16,T=1h,80.0009,3.2821,2.0273,0.0,0.0002,0.2,0.1994,0.0006
801,17,T=1h,79.6405,1.6989,1.5558,0.0,0.0003,0.2,0.1997,0.0003
801,18,T=1h,79.2896,0.0,1.3995,0.0,-0.0002,0.2,0.1981,0.0019
801,19,T=1h,71.8166,0.0,1.345,0.0,0.0003,0.2,0.2006,0.0006
801,20,T=1h,63.6898,0.0,1.2913,0.0,-0.0,0.2,0.2002,0.0002
801,21,T=1h,56.7799,0.0,0.9919,0.0,0.0005,0.2,0.1997,0.0003
801,22,T=1h,42.6528,0.0,0.9988,0.0,-0.0008,0.2,0.1995,0.0005
801,23,T=1h,49.9113,0.0,1.2354,0.2704,0.2703,0.4569,0.4578,0.0009
802,0,T=1h,27.5448,0.0,1.0945,-0.1447,-0.1441,0.2,0.2003,0.0003
802,1,T=1h,19.9519,0.0,1.0301,0.0,-0.0002,0.2,0.2001,0.0001
802,2,T=1h,26.5343,0.0,1.2659,0.0,-0.0002,0.2,0.2001,0.0001
802,3,T=1h,30.5707,0.0,1.3182,0.0,-0.0001,0.2,0.2,0.0
802,4,T=1h,40.6255,0.0,1.3683,0.0,0.0,0.2,0.2001,0.0001
802,5,T=1h,39.8136,0.0,1.1939,0.0,0.0001,0.2,0.2,0.0
802,6,T=1h,50.0974,0.0,1.6175,0.0,-0.0002,0.2,0.2002,0.0002
802,7,T=1h,56.2074,1.2888,1.5991,0.0,0.0001,0.2,0.2002,0.0002
802,8,T=1h,62.6442,2.4897,1.6908,0.0,0.0001,0.2,0.2003,0.0003
802,9,T=1h,69.7438,3.521,1.7512,0.0,-0.0,0.2,0.2002,0.0002
802,10,T=1h,73.6698,4.3123,1.9073,0.0,-0.0,0.2,0.2002,0.0002
802,11,T=1h,82.0356,4.8098,1.8891,0.0,-0.0001,0.2,0.2003,0.0003
802,12,T=1h,78.3693,4.9795,2.0255,0.0,0.0,0.2,0.2003,0.0003
802,13,T=1h,77.3131,4.8098,1.957,0.0,-0.0001,0.2,0.2002,0.0002
802,14,T=1h,67.4669,4.3123,1.9661,0.0,0.0001,0.2,0.2001,0.0001
802,15,T=1h,73.549,3.521,1.9365,0.0,0.0,0.2,0.2003,0.0003
802,16,T=1h,56.199,2.4897,1.7058,0.0,-0.0,0.2,0.2003,0.0003
802,17,T=1h,55.9947,1.2888,1.5188,0.0,-0.0,0.2,0.2001,0.0001
802,18,T=1h,53.1088,0.0,1.199,0.0,0.0,0.2,0.2005,0.0005
802,19,T=1h,46.275,0.0,1.4862,0.0,-0.0001,0.2,0.2001,0.0001
802,20,T=1h,27.5966,0.0,1.2618,0.0,0.0001,0.2,0.2002,0.0002
802,21,T=1h,26.5679,0.0,1.12,0.0,0.0,0.2,0.2003,0.0003
802,22,T=1h,26.0669,0.0,1.2428,0.0,0.0003,0.2,0.2003,0.0003
802,23,T=1h,18.9097,0.0,0.8238,0.1603,0.1593,0.3523,0.3515,0.0008
