DIA,HORA,HORIZONTE,PRECIO,SOLAR,DEMANDA,ACCION_REAL,ACCION_IA,SOC_REAL,SOC_IA,DIFERENCIA
800,0,T=4h,40.2544,0.0,0.7868,-0.4285,-0.3984,0.2,0.2514,0.0514
800,1,T=4h,23.5041,0.0,0.942,0.0,-0.0924,0.2,0.1544,0.0456
800,2,T=4h,22.3374,0.0,0.898,-0.0,0.1015,0.2,0.2852,0.0852
800,3,T=4h,13.8331,0.0,1.0304,0.3,0.204,0.485,0.4288,0.0562
800,4,T=4h,27.7393,0.0,1.4278,-0.2708,0.1761,0.2,0.6025,0.4025
800,5,T=4h,12.7073,0.0,1.5814,0.3,0.0702,0.485,0.6804,0.1954
800,6,T=4h,26.3239,0.0,1.5387,0.0,0.1296,0.485,0.8166,0.3316
800,7,T=4h,25.7771,0.9437,1.7092,0.254,0.0592,0.7263,0.8722,0.1459
800,8,T=4h,32.2552,1.8231,1.8257,0.0,-0.1419,0.7263,0.728,0.0017
800,9,T=4h,41.8005,2.5782,1.7527,0.1828,0.0948,0.9,0.8251,0.0749
800,10,T=4h,48.7529,3.1576,1.9687,0.0,0.0323,0.9,0.8213,0.0787
800,11,T=4h,61.8545,3.5219,1.7887,-0.165,-0.0828,0.7263,0.7389,0.0126
800,12,T=4h,62.5557,3.6461,1.8562,0.1828,0.0637,0.9,0.805,0.095
800,13,T=4h,77.4934,3.5219,1.9699,0.0,0.0739,0.9,0.8821,0.0179
800,14,T=4h,82.7488,3.1576,1.7739,-0.165,-0.1827,0.7263,0.6854,0.0409
800,15,T=4h,86.2517,2.5782,1.6626,-0.5,-0.3731,0.2,0.3044,0.1044
800,16,T=4h,73.7116,1.8231,1.6432,0.0,-0.0843,0.2,0.2115,0.0115
800,17,T=4h,74.8686,0.9437,1.8014,0.0,-0.0084,0.2,0.1923,0.0077
800,18,T=4h,72.3279,0.0,1.7336,0.0,-0.0052,0.2,0.2082,0.0082
800,19,T=4h,66.5983,0.0,1.3657,0.0,0.0103,0.2,0.1935,0.0065
800,20,T=4h,65.3841,0.0,1.3373,0.0,-0.0031,0.2,0.2222,0.0222
800,21,T=4h,55.9375,0.0,1.0619,0.0,0.0078,0.2,0.1965,0.0035
800,22,T=4h,43.1249,0.0,0.7571,0.1747,0.1952,0.366,0.3648,0.0012
800,23,T=4h,38.0937,0.0,0.883,0.3,0.3114,0.651,0.6717,0.0207
801,0,T=4h,32.2888,0.0,0.9064,-0.244,-0.1961,0.2,0.2573,0.0573
801,1,T=4h,25.8137,0.0,1.2076,0.0,-0.0628,0.2,0.2231,0.0231
801,2,T=4h,20.4608,0.0,1.4102,0.0,-0.1348,0.2,0.0984,0.1016
801,3,T=4h,21.8102,0.0,1.1422,0.0,0.1537,0.2,0.2565,0.0565
801,4,T=4h,14.6695,0.0,1.325,0.3,0.2157,0.485,0.405,0.08
801,5,T=4h,25.0595,0.0,1.3217,-0.2707,0.0629,0.2,0.5217,0.3217
801,6,T=4h,23.1504,0.0,1.5797,0.3,0.2422,0.485,0.6884,0.2034
801,7,T=4h,39.0786,1.6989,1.3321,0.0,0.075,0.485,0.7877,0.3027
801,8,T=4h,36.1711,3.2821,1.6713,0.0,-0.0369,0.485,0.6974,0.2124
801,9,T=4h,42.9903,4.6416,1.9621,0.3,0.1195,0.77,0.8546,0.0846
801,10,T=4h,50.4858,5.6847,1.8018,0.0,0.0142,0.77,0.8899,0.1199
801,11,T=4h,58.4946,6.3405,2.0661,-0.0415,-0.146,0.7263,0.7102,0.0161
801,12,T=4h,69.7363,6.5642,2.078,-0.0,0.0425,0.7263,0.7239,0.0024
801,13,T=4h,72.8907,6.3405,2.0698,0.0,-0.101,0.7263,0.6767,0.0496
801,14,T=4h,81.189,5.6847,1.8569,0.0,-0.0355,0.7263,0.6097,0.1166
801,15,T=4h,81.4229,4.6416,1.9683,-0.5,-0.1463,0.2,0.4567,0.2567
801,16,T=4h,80.0009,3.2821,2.0273,0.0,-0.2187,0.2,0.2029,0.0029
801,17,T=4h,79.6405,1.6989,1.5558,0.0,-0.0025,0.2,0.1819,0.0181
801,18,T=4h,79.2896,0.0,1.3995,0.0,-0.0067,0.2,0.2168,0.0168
801,19,T=4h,71.8166,0.0,1.345,0.0,-0.0214,0.2,0.2157,0.0157
801,20,T=4h,63.6898,0.0,1.2913,0.0,-0.0034,0.2,0.1897,0.0103
801,21,T=4h,56.7799,0.0,0.9919,0.0,-0.0038,0.2,0.1719,0.0281
