DIA,HORA,HORIZONTE,PRECIO,SOLAR,DEMANDA,ACCION_REAL,ACCION_IA,SOC_REAL,SOC_IA,DIFERENCIA
800,0,T=4h,40.2544,0.0,0.7868,-0.4285,-0.2914,0.2,0.3202,0.1202
800,1,T=4h,23.5041,0.0,0.942,0.0,0.0036,0.2,0.3075,0.1075
800,2,T=4h,22.3374,0.0,0.898,-0.0,-0.0375,0.2,0.2695,0.0695
800,3,T=4h,13.8331,0.0,1.0304,0.3,0.089,0.485,0.3369,0.1481
800,4,T=4h,27.7393,0.0,1.4278,-0.2708,0.0542,0.2,0.3978,0.1978
800,5,T=4h,12.7073,0.0,1.5814,0.3,-0.1393,0.485,0.2621,0.2229
800,6,T=4h,26.3239,0.0,1.5387,0.0,0.2857,0.485,0.5343,0.0493
800,7,T=4h,25.7771,0.9437,1.7092,0.254,0.1812,0.7263,0.6944,0.0319
800,8,T=4h,32.2552,1.8231,1.8257,0.0,0.1098,0.7263,0.7896,0.0633
800,9,T=4h,41.8005,2.5782,1.7527,0.1828,0.1623,0.9,0.9386,0.0386
800,10,T=4h,48.7529,3.1576,1.9687,0.0,-0.0136,0.9,0.9349,0.0349
800,11,T=4h,61.8545,3.5219,1.7887,-0.165,-0.2386,0.7263,0.6898,0.0365
800,12,T=4h,62.5557,3.6461,1.8562,0.1828,0.0264,0.9,0.7195,0.1805
800,13,T=4h,77.4934,3.5219,1.9699,0.0,-0.026,0.9,0.698,0.202
800,14,T=4h,82.7488,3.1576,1.7739,-0.165,-0.3778,0.7263,0.2999,0.4264
800,15,T=4h,86.2517,2.5782,1.6626,-0.5,-0.0841,0.2,0.2147,0.0147
800,16,T=4h,73.7116,1.8231,1.6432,0.0,-0.0078,0.2,0.2119,0.0119
800,17,T=4h,74.8686,0.9437,1.8014,0.0,0.0031,0.2,0.2131,0.0131
800,18,T=4h,72.3279,0.0,1.7336,0.0,-0.0145,0.2,0.1902,0.0098
800,19,T=4h,66.5983,0.0,1.3657,0.0,0.0027,0.2,0.2008,0.0008
800,20,T=4h,65.3841,0.0,1.3373,0.0,0.0055,0.2,0.201,0.001
800,21,T=4h,55.9375,0.0,1.0619,0.0,-0.0024,0.2,0.2027,0.0027
800,22,T=4h,43.1249,0.0,0.7571,0.1747,0.1798,0.366,0.3631,0.0029
800,23,T=4h,38.0937,0.0,0.883,0.3,0.2787,0.651,0.6356,0.0154
801,0,T=4h,32.2888,0.0,0.9064,-0.244,-0.0645,0.2,0.3519,0.1519
801,1,T=4h,25.8137,0.0,1.2076,0.0,-0.1106,0.2,0.2283,0.0283
801,2,T=4h,20.4608,0.0,1.4102,0.0,-0.0166,0.2,0.2135,0.0135
801,3,T=4h,21.8102,0.0,1.1422,0.0,0.1559,0.2,0.3522,0.1522
801,4,T=4h,14.6695,0.0,1.325,0.3,0.1812,0.485,0.5289,0.0439
801,5,T=4h,25.0595,0.0,1.3217,-0.2707,0.0394,0.2,0.5465,0.3465
801,6,T=4h,23.1504,0.0,1.5797,0.3,0.1993,0.485,0.7616,0.2766
801,7,T=4h,39.0786,1.6989,1.3321,0.0,0.0599,0.485,0.7985,0.3135
801,8,T=4h,36.1711,3.2821,1.6713,0.0,-0.1668,0.485,0.6261,0.1411
801,9,T=4h,42.9903,4.6416,1.9621,0.3,0.1738,0.77,0.7772,0.0072
801,10,T=4h,50.4858,5.6847,1.8018,0.0,0.0197,0.77,0.7973,0.0273
801,11,T=4h,58.4946,6.3405,2.0661,-0.0415,-0.1596,0.7263,0.6356,0.0907
801,12,T=4h,69.7363,6.5642,2.078,-0.0,0.106,0.7263,0.7397,0.0134
801,13,T=4h,72.8907,6.3405,2.0698,0.0,0.0297,0.7263,0.7848,0.0585
801,14,T=4h,81.189,5.6847,1.8569,0.0,0.0177,0.7263,0.7798,0.0535
801,15,T=4h,81.4229,4.6416,1.9683,-0.5,-0.2273,0.2,0.553,0.353
801,16,T=4h,80.0009,3.2821,2.0273,0.0,-0.3352,0.2,0.1857,0.0143
801,17,T=4h,79.6405,1.6989,1.5558,0.0,0.0188,0.2,0.2115,0.0115
801,18,T=4h,79.2896,0.0,1.3995,0.0,-0.0149,0.2,0.1867,0.0133
801,19,T=4h,71.8166,0.0,1.345,0.0,-0.0005,0.2,0.2017,0.0017
801,20,T=4h,63.6898,0.0,1.2913,0.0,0.0009,0.2,0.2068,0.0068
801,21,T=4h,56.7799,0.0,0.9919,0.0,0.0015,0.2,0.2145,0.0145
801,22,T=4h,42.6528,0.0,0.9988,0.2704,0.0446,0.4569,0.2475,0.2094
801,23,T=4h,49.9113,0.0,1.2354,0.0,0.2077,0.4569,0.4176,0.0393
802,0,T=4h,27.5448,0.0,1.0945,0.0,0.1779,0.3523,0.4848,0.1325
802,1,T=4h,19.9519,0.0,1.0301,0.3,0.0113,0.6373,0.4811,0.1562
802,2,T=4h,26.5343,0.0,1.2659,0.0,-0.3458,0.6373,0.157,0.4803
802,3,T=4h,30.5707,0.0,1.3182,0.2765,0.3046,0.9,0.4653,0.4347
802,4,T=4h,40.6255,0.0,1.3683,-0.165,0.2477,0.7263,0.6631,0.0632
802,5,T=4h,39.8136,0.0,1.1939,0.0,0.0222,0.7263,0.6569,0.0694
802,6,T=4h,50.0974,0.0,1.6175,0.1828,0.128,0.9,0.7976,0.1024
802,7,T=4h,56.2074,1.2888,1.5991,0.0,0.0184,0.9,0.8005,0.0995
802,8,T=4h,62.6442,2.4897,1.6908,-0.165,-0.1025,0.7263,0.7104,0.0159
802,9,T=4h,69.7438,3.521,1.7512,-0.0,0.0068,0.7263,0.7108,0.0155
802,10,T=4h,73.6698,4.3123,1.9073,0.0,0.0365,0.7263,0.7502,0.0239
802,11,T=4h,82.0356,4.8098,1.8891,-0.5,-0.04,0.2,0.7311,0.5311
802,12,T=4h,78.3693,4.9795,2.0255,0.0,-0.3986,0.2,0.2653,0.0653
802,13,T=4h,77.3131,4.8098,1.957,0.0,-0.0562,0.2,0.2351,0.0351
802,14,T=4h,67.4669,4.3123,1.9661,0.0,0.0172,0.2,0.2375,0.0375
802,15,T=4h,73.549,3.521,1.9365,0.0,-0.0336,0.2,0.1909,0.0091
802,16,T=4h,56.199,2.4897,1.7058,0.0,0.0017,0.2,0.1995,0.0005
802,17,T=4h,55.9947,1.2888,1.5188,0.0,-0.0104,0.2,0.1699,0.0301
802,18,T=4h,53.1088,0.0,1.199,0.0,0.0011,0.2,0.1825,0.0175
802,19,T=4h,46.275,0.0,1.4862,0.0,-0.0017,0.2,0.1834,0.0166
802,20,T=4h,27.5966,0.0,1.2618,-0.0,0.0152,0.2,0.2091,0.0091
802,21,T=4h,26.5679,0.0,1.12,0.0,0.0508,0.2,0.2439,0.0439
802,22,T=4h,26.0669,0.0,1.2428,0.0,-0.0559,0.2,0.1861,0.0139
802,23,T=4h,18.9097,0.0,0.8238,0.1603,0.1258,0.3523,0.3297,0.0226
803,0,T=4h,23.384,0.0,1.0193,-0.1095,-0.0561,0.615,0.5733,0.0417
803,1,T=4h,11.1151,0.0,1.0352,0.3,0.0741,0.9,0.654,0.246
803,2,T=4h,24.5385,0.0,0.9975,-0.165,0.2544,0.7263,0.8814,0.1551
803,3,T=4h,27.6302,0.0,1.2281,0.0,0.0574,0.7263,0.937,0.2107
803,4,T=4h,25.877,0.0,1.5374,0.1828,-0.0663,0.9,0.9105,0.0105
803,5,T=4h,36.2162,0.0,1.1841,-0.165,-0.1684,0.7263,0.7274,0.0011
803,6,T=4h,39.684,0.0,1.3171,0.1828,0.1621,0.9,0.8465,0.0535
803,7,T=4h,52.797,1.4356,1.8147,0.0,0.0266,0.9,0.8607,0.0393
803,8,T=4h,62.09,2.7734,1.8683,-0.5,-0.1653,0.3737,0.673,0.2993
803,9,T=4h,61.9113,3.9222,2.1042,0.3,0.0728,0.6587,0.767,0.1083
803,10,T=4h,66.7806,4.8037,2.2166,0.254,-0.0312,0.9,0.7524,0.1476
803,11,T=4h,80.8928,5.3578,2.0991,-0.165,-0.2708,0.7263,0.4616,0.2647
803,12,T=4h,87.0047,5.5468,1.8281,-0.5,0.0163,0.2,0.5008,0.3008
803,13,T=4h,81.9581,5.3578,2.0363,0.0,-0.2348,0.2,0.2397,0.0397
803,14,T=4h,80.9513,4.8037,1.8809,0.0,-0.0358,0.2,0.1979,0.0021
