DIA,HORA,HORIZONTE,PRECIO,SOLAR,DEMANDA,ACCION_REAL,ACCION_IA,SOC_REAL,SOC_IA,DIFERENCIA
800,0,T=4h,40.2544,0.0,0.7868,-0.4285,-0.5033,0.2,0.1057,0.0943
800,1,T=4h,23.5041,0.0,0.942,0.0,-0.0323,0.2,0.0657,0.1343
800,2,T=4h,22.3374,0.0,0.898,-0.0,0.0574,0.2,0.1183,0.0817
800,3,T=4h,13.8331,0.0,1.0304,0.3,0.1477,0.485,0.2763,0.2087
800,4,T=4h,27.7393,0.0,1.4278,-0.2708,0.021,0.2,0.3502,0.1502
800,5,T=4h,12.7073,0.0,1.5814,0.3,-0.091,0.485,0.2272,0.2578
800,6,T=4h,26.3239,0.0,1.5387,0.0,0.2583,0.485,0.4525,0.0325
800,7,T=4h,25.7771,0.9437,1.7092,0.254,0.2155,0.7263,0.6597,0.0666
800,8,T=4h,32.2552,1.8231,1.8257,0.0,-0.1185,0.7263,0.5545,0.1718
800,9,T=4h,41.8005,2.5782,1.7527,0.1828,0.2635,0.9,0.7947,0.1053
800,10,T=4h,48.7529,3.1576,1.9687,0.0,-0.0042,0.9,0.8042,0.0958
800,11,T=4h,61.8545,3.5219,1.7887,-0.165,-0.0685,0.7263,0.7248,0.0015
800,12,T=4h,62.5557,3.6461,1.8562,0.1828,0.1114,0.9,0.7867,0.1133
800,13,T=4h,77.4934,3.5219,1.9699,0.0,-0.0976,0.9,0.7056,0.1944
800,14,T=4h,82.7488,3.1576,1.7739,-0.165,-0.2624,0.7263,0.4396,0.2867
800,15,T=4h,86.2517,2.5782,1.6626,-0.5,-0.1341,0.2,0.3252,0.1252
800,16,T=4h,73.7116,1.8231,1.6432,0.0,-0.06,0.2,0.2451,0.0451
800,17,T=4h,74.8686,0.9437,1.8014,0.0,-0.0299,0.2,0.2436,0.0436
800,18,T=4h,72.3279,0.0,1.7336,0.0,-0.0185,0.2,0.2143,0.0143
800,19,T=4h,66.5983,0.0,1.3657,0.0,-0.0196,0.2,0.2005,0.0005
800,20,T=4h,65.3841,0.0,1.3373,0.0,0.0204,0.2,0.2119,0.0119
800,21,T=4h,55.9375,0.0,1.0619,0.0,-0.0165,0.2,0.202,0.002
800,22,T=4h,43.1249,0.0,0.7571,0.1747,0.2178,0.366,0.3751,0.0091
800,23,T=4h,38.0937,0.0,0.883,0.3,0.1727,0.651,0.563,0.088
801,0,T=4h,32.2888,0.0,0.9064,-0.244,-0.0541,0.2,0.4397,0.2397
801,1,T=4h,25.8137,0.0,1.2076,0.0,-0.1785,0.2,0.2804,0.0804
801,2,T=4h,20.4608,0.0,1.4102,0.0,-0.044,0.2,0.2293,0.0293
801,3,T=4h,21.8102,0.0,1.1422,0.0,0.2737,0.2,0.4522,0.2522
801,4,T=4h,14.6695,0.0,1.325,0.3,0.3016,0.485,0.6853,0.2003
801,5,T=4h,25.0595,0.0,1.3217,-0.2707,-0.1732,0.2,0.5241,0.3241
801,6,T=4h,23.1504,0.0,1.5797,0.3,0.1585,0.485,0.6562,0.1712
801,7,T=4h,39.0786,1.6989,1.3321,0.0,-0.0386,0.485,0.6661,0.1811
801,8,T=4h,36.1711,3.2821,1.6713,0.0,-0.1291,0.485,0.494,0.009
801,9,T=4h,42.9903,4.6416,1.9621,0.3,0.0691,0.77,0.6017,0.1683
801,10,T=4h,50.4858,5.6847,1.8018,0.0,0.0508,0.77,0.6123,0.1577
801,11,T=4h,58.4946,6.3405,2.0661,-0.0415,-0.1025,0.7263,0.5141,0.2122
801,12,T=4h,69.7363,6.5642,2.078,-0.0,0.1619,0.7263,0.6148,0.1115
801,13,T=4h,72.8907,6.3405,2.0698,0.0,0.051,0.7263,0.6825,0.0438
801,14,T=4h,81.189,5.6847,1.8569,0.0,-0.3245,0.7263,0.3515,0.3748
801,15,T=4h,81.4229,4.6416,1.9683,-0.5,-0.2305,0.2,0.1295,0.0705
801,16,T=4h,80.0009,3.2821,2.0273,0.0,0.0471,0.2,0.1674,0.0326
801,17,T=4h,79.6405,1.6989,1.5558,0.0,0.0121,0.2,0.1495,0.0505
801,18,T=4h,79.2896,0.0,1.3995,0.0,0.0146,0.2,0.1898,0.0102
801,19,T=4h,71.8166,0.0,1.345,0.0,0.0053,0.2,0.1673,0.0327
801,20,T=4h,63.6898,0.0,1.2913,0.0,0.0146,0.2,0.1548,0.0452
801,21,T=4h,56.7799,0.0,0.9919,0.0,0.0235,0.2,0.2284,0.0284
801,22,T=4h,42.6528,0.0,0.9988,0.2704,0.1037,0.4569,0.2955,0.1614
801,23,T=4h,49.9113,0.0,1.2354,0.0,0.2119,0.4569,0.5199,0.063
802,0,T=4h,27.5448,0.0,1.0945,0.0,0.0208,0.3523,0.3535,0.0012
802,1,T=4h,19.9519,0.0,1.0301,0.3,0.3149,0.6373,0.6592,0.0219
802,2,T=4h,26.5343,0.0,1.2659,0.0,-0.1771,0.6373,0.4887,0.1486
802,3,T=4h,30.5707,0.0,1.3182,0.2765,0.2213,0.9,0.6861,0.2139
802,4,T=4h,40.6255,0.0,1.3683,-0.165,0.1078,0.7263,0.7795,0.0532
802,5,T=4h,39.8136,0.0,1.1939,0.0,-0.1376,0.7263,0.6462,0.0801
802,6,T=4h,50.0974,0.0,1.6175,0.1828,0.0943,0.9,0.739,0.161
802,7,T=4h,56.2074,1.2888,1.5991,0.0,0.0179,0.9,0.7482,0.1518
802,8,T=4h,62.6442,2.4897,1.6908,-0.165,-0.0675,0.7263,0.6773,0.049
802,9,T=4h,69.7438,3.521,1.7512,-0.0,0.0991,0.7263,0.7879,0.0616
802,10,T=4h,73.6698,4.3123,1.9073,0.0,-0.1209,0.7263,0.6422,0.0841
802,11,T=4h,82.0356,4.8098,1.8891,-0.5,-0.052,0.2,0.6071,0.4071
802,12,T=4h,78.3693,4.9795,2.0255,0.0,-0.0896,0.2,0.5341,0.3341
802,13,T=4h,77.3131,4.8098,1.957,0.0,-0.1617,0.2,0.3524,0.1524
802,14,T=4h,67.4669,4.3123,1.9661,0.0,-0.0791,0.2,0.2732,0.0732
802,15,T=4h,73.549,3.521,1.9365,0.0,-0.1201,0.2,0.1511,0.0489
802,16,T=4h,56.199,2.4897,1.7058,0.0,0.0318,0.2,0.174,0.026
802,17,T=4h,55.9947,1.2888,1.5188,0.0,0.0077,0.2,0.1839,0.0161
802,18,T=4h,53.1088,0.0,1.199,0.0,0.0133,0.2,0.1964,0.0036
802,19,T=4h,46.275,0.0,1.4862,0.0,0.0073,0.2,0.2015,0.0015
802,20,T=4h,27.5966,0.0,1.2618,-0.0,-0.0054,0.2,0.1984,0.0016
802,21,T=4h,26.5679,0.0,1.12,0.0,0.011,0.2,0.2103,0.0103
802,22,T=4h,26.0669,0.0,1.2428,0.0,0.0253,0.2,0.23,0.03
802,23,T=4h,18.9097,0.0,0.8238,0.1603,0.1305,0.3523,0.3609,0.0086
803,0,T=4h,23.384,0.0,1.0193,-0.1095,-0.1841,0.615,0.5482,0.0668
803,1,T=4h,11.1151,0.0,1.0352,0.3,0.346,0.9,0.8774,0.0226
803,2,T=4h,24.5385,0.0,0.9975,-0.165,-0.1346,0.7263,0.7264,0.0001
803,3,T=4h,27.6302,0.0,1.2281,0.0,0.0106,0.7263,0.7696,0.0433
803,4,T=4h,25.877,0.0,1.5374,0.1828,0.0107,0.9,0.8063,0.0937
803,5,T=4h,36.2162,0.0,1.1841,-0.165,-0.3063,0.7263,0.4365,0.2898
803,6,T=4h,39.684,0.0,1.3171,0.1828,0.2701,0.9,0.709,0.191
803,7,T=4h,52.797,1.4356,1.8147,0.0,0.1843,0.9,0.8308,0.0692
803,8,T=4h,62.09,2.7734,1.8683,-0.5,-0.0109,0.3737,0.8571,0.4834
803,9,T=4h,61.9113,3.9222,2.1042,0.3,0.2142,0.6587,1.0345,0.3758
803,10,T=4h,66.7806,4.8037,2.2166,0.254,-0.0323,0.9,1.0267,0.1267
803,11,T=4h,80.8928,5.3578,2.0991,-0.165,-0.4733,0.7263,0.5507,0.1756
803,12,T=4h,87.0047,5.5468,1.8281,-0.5,-0.1772,0.2,0.3752,0.1752
803,13,T=4h,81.9581,5.3578,2.0363,0.0,0.1652,0.2,0.5291,0.3291
803,14,T=4h,80.9513,4.8037,1.8809,0.0,-0.2769,0.2,0.2069,0.0069
803,15,T=4h,74.0923,3.9222,1.9288,0.0,0.0651,0.2,0.2584,0.0584
803,16,T=4h,71.1511,2.7734,1.6405,0.0,-0.0737,0.2,0.2116,0.0116
803,17,T=4h,65.452,1.4356,1.7122,0.0,0.0194,0.2,0.2291,0.0291
803,18,T=4h,55.9796,0.0,1.6103,0.0,-0.016,0.2,0.2029,0.0029
803,19,T=4h,54.3129,0.0,1.4154,0.0,0.0034,0.2,0.2285,0.0285
803,20,T=4h,41.8979,0.0,1.3157,-0.0,0.0009,0.2,0.2377,0.0377
803,21,T=4h,35.2912,0.0,1.259,0.0,0.0115,0.2,0.2069,0.0069
803,22,T=4h,27.3845,0.0,0.9566,0.2582,0.2203,0.4453,0.4415,0.0038
803,23,T=4h,23.2516,0.0,1.0658,0.3,0.304,0.7303,0.7168,0.0135
804,0,T=4h,24.5012,0.0,1.1382,0.0,-0.1077,0.3763,0.2076,0.1687
804,1,T=4h,17.8067,0.0,1.2352,0.3,0.0236,0.6613,0.2576,0.4037
804,2,T=4h,23.6967,0.0,0.9441,0.0,0.0358,0.6613,0.2658,0.3955
804,3,T=4h,29.1898,0.0,1.0876,0.0,0.0709,0.6613,0.3323,0.329
804,4,T=4h,29.8566,0.0,1.5103,0.0,-0.0026,0.6613,0.3201,0.3412
804,5,T=4h,33.0036,0.0,1.0768,0.0,-0.1364,0.6613,0.1664,0.4949
804,6,T=4h,37.11,0.0,1.4873,0.2513,0.2656,0.9,0.4017,0.4983
804,7,T=4h,41.2356,1.6025,1.6518,0.0,0.2087,0.9,0.6252,0.2748
804,8,T=4h,61.367,3.0957,1.7235,-0.5,-0.0652,0.3737,0.5587,0.185
804,9,T=4h,58.8138,4.378,2.0907,0.3,0.1537,0.6587,0.742,0.0833
804,10,T=4h,66.5072,5.3619,2.0044,0.0712,0.0022,0.7263,0.7024,0.0239
804,11,T=4h,75.9357,5.9805,1.9249,0.0,-0.1176,0.7263,0.5757,0.1506
804,12,T=4h,79.9856,6.1914,1.9048,-0.0,-0.0458,0.7263,0.4904,0.2359
804,13,T=4h,85.8723,5.9805,2.0252,-0.5,-0.3207,0.2,0.1826,0.0174
804,14,T=4h,80.673,5.3619,2.1079,0.0,0.1575,0.2,0.3704,0.1704
804,15,T=4h,75.3461,4.378,1.8743,0.0,-0.0911,0.2,0.2985,0.0985
804,16,T=4h,70.7719,3.0957,1.7298,0.0,-0.0586,0.2,0.2076,0.0076
804,17,T=4h,59.7079,1.6025,1.5251,0.0,-0.0282,0.2,0.1744,0.0256
804,18,T=4h,64.3945,0.0,1.5561,0.0,0.0012,0.2,0.2015,0.0015
804,19,T=4h,54.4467,0.0,1.4184,0.0,-0.0104,0.2,0.17,0.03
804,20,T=4h,44.2146,0.0,1.1414,-0.0,0.0174,0.2,0.1522,0.0478
804,21,T=4h,41.5173,0.0,1.3004,0.0,-0.0496,0.2,0.18,0.02
804,22,T=4h,33.733,0.0,1.3229,0.0,0.0631,0.2,0.2104,0.0104
804,23,T=4h,26.6388,0.0,1.0244,0.1856,0.0889,0.3763,0.3101,0.0662
805,0,T=4h,23.1387,0.0,1.1408,0.0,0.011,0.3988,0.4966,0.0978
805,1,T=4h,22.1901,0.0,1.103,0.0,0.1637,0.3988,0.6505,0.2517
805,2,T=4h,21.1942,0.0,1.1969,0.0,0.0222,0.3988,0.6541,0.2553
