DIA,HORA,HORIZONTE,MODELO,ACCION_REAL,ACCION_IA,SOC_REAL,SOC_IA
800,0,T=2h,GRU,-0.4285,-0.5086,0.2,0.1244
800,1,T=2h,GRU,0.0,0.1202,0.2,0.2928
800,2,T=2h,GRU,0.1368,0.1381,0.33,0.3345
800,3,T=2h,GRU,0.3,0.337,0.615,0.6624
800,4,T=2h,GRU,0.0,-0.0275,0.615,0.5726
800,5,T=2h,GRU,0.3,0.3389,0.9,0.9128
800,6,T=2h,GRU,0.0,0.0064,0.9,0.9062
800,7,T=2h,GRU,0.0,0.0057,0.9,0.9038
800,8,T=2h,GRU,0.0,-0.0083,0.9,0.8914
800,9,T=2h,GRU,0.0,0.005,0.9,0.9081
800,10,T=2h,GRU,0.0,-0.001,0.9,0.9017
800,11,T=2h,GRU,0.0,0.0052,0.9,0.9062
800,12,T=2h,GRU,0.0,0.0026,0.9,0.9033
800,13,T=2h,GRU,0.0,0.0204,0.9,0.9344
800,14,T=2h,GRU,-0.165,-0.355,0.7263,0.5208
800,15,T=2h,GRU,-0.5,-0.4952,0.2,0.1995
800,16,T=2h,GRU,0.0,0.0007,0.2,0.2015
800,17,T=2h,GRU,0.0,-0.0011,0.2,0.1992
800,18,T=2h,GRU,0.0,0.0042,0.2,0.1986
800,19,T=2h,GRU,0.0,0.001,0.2,0.1959
800,20,T=2h,GRU,0.0,-0.0034,0.2,0.1968
800,21,T=2h,GRU,0.0,0.0051,0.2,0.2105
800,22,T=2h,GRU,0.1747,0.1233,0.366,0.3213
800,23,T=2h,GRU,0.3,0.2991,0.651,0.6509
801,0,T=2h,GRU,-0.244,-0.173,0.2,0.2796
801,1,T=2h,GRU,0.0,-0.0008,0.2,0.197
801,2,T=2h,GRU,0.3,0.1419,0.485,0.3349
801,3,T=2h,GRU,0.1368,0.1412,0.615,0.6138
801,4,T=2h,GRU,0.3,0.2884,0.9,0.8862
801,5,T=2h,GRU,0.0,-0.0078,0.9,0.8935
801,6,T=2h,GRU,0.0,0.0051,0.9,0.9013
801,7,T=2h,GRU,0.0,-0.0035,0.9,0.8962
801,8,T=2h,GRU,0.0,0.0105,0.9,0.908
801,9,T=2h,GRU,0.0,0.0038,0.9,0.9053
801,10,T=2h,GRU,0.0,-0.0192,0.9,0.8803
801,11,T=2h,GRU,0.0,-0.0084,0.9,0.8915
801,12,T=2h,GRU,0.0,-0.0239,0.9,0.8704
801,13,T=2h,GRU,0.0,-0.0144,0.9,0.889
801,14,T=2h,GRU,-0.165,-0.2868,0.7263,0.6023
801,15,T=2h,GRU,-0.5,-0.4422,0.2,0.2851
801,16,T=2h,GRU,0.0,-0.0097,0.2,0.1981
801,17,T=2h,GRU,0.0,-0.0103,0.2,0.1884
801,18,T=2h,GRU,0.0,-0.0097,0.2,0.191
801,19,T=2h,GRU,0.0,-0.0005,0.2,0.1956
801,20,T=2h,GRU,0.0,-0.002,0.2,0.1958
801,21,T=2h,GRU,0.0,0.0088,0.2,0.2153
801,22,T=2h,GRU,0.2704,0.0881,0.4569,0.2821
801,23,T=2h,GRU,0.0,0.0453,0.4569,0.5051
802,0,T=2h,GRU,0.0,-0.0192,0.3523,0.3314
802,1,T=2h,GRU,0.3,0.2495,0.6373,0.5934
802,2,T=2h,GRU,0.2765,0.0687,0.9,0.7014
802,3,T=2h,GRU,0.0,0.0145,0.9,0.9066
802,4,T=2h,GRU,0.0,-0.0023,0.9,0.9014
802,5,T=2h,GRU,0.0,0.0006,0.9,0.9074
802,6,T=2h,GRU,0.0,-0.0005,0.9,0.899
802,7,T=2h,GRU,0.0,0.0018,0.9,0.8999
802,8,T=2h,GRU,0.0,0.0038,0.9,0.9041
802,9,T=2h,GRU,0.0,-0.0002,0.9,0.9015
802,10,T=2h,GRU,0.0,-0.0147,0.9,0.889
802,11,T=2h,GRU,-0.5,-0.3454,0.3737,0.5348
802,12,T=2h,GRU,-0.165,-0.0585,0.2,0.3051
802,13,T=2h,GRU,0.0,-0.0102,0.2,0.1923
802,14,T=2h,GRU,0.0,0.0066,0.2,0.2061
802,15,T=2h,GRU,0.0,-0.0109,0.2,0.1931
802,16,T=2h,GRU,0.0,0.0027,0.2,0.2016
802,17,T=2h,GRU,0.0,0.0037,0.2,0.2004
802,18,T=2h,GRU,0.0,0.002,0.2,0.197
802,19,T=2h,GRU,0.0,0.0049,0.2,0.2059
802,20,T=2h,GRU,0.0,0.0484,0.2,0.2385
802,21,T=2h,GRU,0.0,0.0616,0.2,0.2654
802,22,T=2h,GRU,0.0,0.0485,0.2,0.254
802,23,T=2h,GRU,0.1603,0.2135,0.3523,0.4021
803,0,T=2h,GRU,-0.1095,0.0144,0.615,0.7443
803,1,T=2h,GRU,0.3,0.3074,0.9,0.8973
803,2,T=2h,GRU,0.0,-0.0332,0.9,0.8742
803,3,T=2h,GRU,0.0,0.0019,0.9,0.9002
803,4,T=2h,GRU,0.0,0.003,0.9,0.9013
803,5,T=2h,GRU,0.0,-0.0035,0.9,0.9006
803,6,T=2h,GRU,0.0,-0.0015,0.9,0.9033
803,7,T=2h,GRU,0.0,0.0002,0.9,0.896
803,8,T=2h,GRU,0.0,0.0054,0.9,0.9033
803,9,T=2h,GRU,0.0,0.0028,0.9,0.9029
803,10,T=2h,GRU,0.0,0.0021,0.9,0.8991
803,11,T=2h,GRU,0.0,-0.2116,0.9,0.6612
803,12,T=2h,GRU,-0.5,-0.5118,0.3737,0.3582
803,13,T=2h,GRU,-0.165,-0.1422,0.2,0.2413
803,14,T=2h,GRU,0.0,-0.0106,0.2,0.1906
803,15,T=2h,GRU,0.0,0.005,0.2,0.2039
803,16,T=2h,GRU,0.0,-0.0015,0.2,0.1998
803,17,T=2h,GRU,0.0,0.0018,0.2,0.2028
803,18,T=2h,GRU,0.0,0.0031,0.2,0.2039
803,19,T=2h,GRU,0.0,0.0045,0.2,0.2008
803,20,T=2h,GRU,0.0,0.0043,0.2,0.2058
803,21,T=2h,GRU,0.0,0.0265,0.2,0.2247
803,22,T=2h,GRU,0.2582,0.0941,0.4453,0.2907
803,23,T=2h,GRU,0.3,0.3041,0.7303,0.7341
804,0,T=2h,GRU,0.0,0.0958,0.3763,0.4565
804,1,T=2h,GRU,0.3,0.282,0.6613,0.6473
804,2,T=2h,GRU,0.2513,0.0964,0.9,0.7583
804,3,T=2h,GRU,0.0,-0.0035,0.9,0.8918
804,4,T=2h,GRU,0.0,1e-04,0.9,0.9009
804,5,T=2h,GRU,0.0,-0.0005,0.9,0.9016
804,6,T=2h,GRU,0.0,-0.002,0.9,0.9018
804,7,T=2h,GRU,0.0,-0.0003,0.9,0.9012
804,8,T=2h,GRU,0.0,0.0027,0.9,0.9016
804,9,T=2h,GRU,0.0,0.0017,0.9,0.9015
804,10,T=2h,GRU,0.0,0.002,0.9,0.9027
804,11,T=2h,GRU,0.0,0.0032,0.9,0.9148
804,12,T=2h,GRU,0.0,-0.1963,0.9,0.6833
804,13,T=2h,GRU,-0.5,-0.4907,0.3737,0.3828
804,14,T=2h,GRU,-0.165,-0.1498,0.2,0.2287
804,15,T=2h,GRU,0.0,-0.0086,0.2,0.1915
804,16,T=2h,GRU,0.0,0.0,0.2,0.2009
804,17,T=2h,GRU,0.0,0.0,0.2,0.1998
804,18,T=2h,GRU,0.0,0.0023,0.2,0.1991
804,19,T=2h,GRU,0.0,-0.0043,0.2,0.1962
804,20,T=2h,GRU,0.0,0.0113,0.2,0.2102
804,21,T=2h,GRU,0.0,0.0332,0.2,0.2318
804,22,T=2h,GRU,0.0,0.0163,0.2,0.2153
804,23,T=2h,GRU,0.1856,0.0741,0.3763,0.2714
805,0,T=2h,GRU,0.0,0.1379,0.3988,0.5188
805,1,T=2h,GRU,0.2276,0.1602,0.615,0.5433
805,2,T=2h,GRU,0.3,0.2377,0.9,0.8429
805,3,T=2h,GRU,0.0,0.0068,0.9,0.9019
805,4,T=2h,GRU,0.0,-0.0019,0.9,0.9027
805,5,T=2h,GRU,0.0,-0.0005,0.9,0.9046
805,6,T=2h,GRU,0.0,-1e-04,0.9,0.9045
805,7,T=2h,GRU,0.0,0.0023,0.9,0.8974
805,8,T=2h,GRU,0.0,0.0041,0.9,0.9053
805,9,T=2h,GRU,0.0,-0.0031,0.9,0.8986
805,10,T=2h,GRU,-0.165,-0.1036,0.7263,0.7825
805,11,T=2h,GRU,0.0,0.0638,0.7263,0.8012
805,12,T=2h,GRU,0.0,0.0288,0.7263,0.7681
805,13,T=2h,GRU,-0.5,-0.3831,0.2,0.317
805,14,T=2h,GRU,0.0,-0.0054,0.2,0.1872
805,15,T=2h,GRU,0.0,0.0059,0.2,0.2056
805,16,T=2h,GRU,0.0,0.002,0.2,0.1986
805,17,T=2h,GRU,0.0,-0.0014,0.2,0.1992
805,18,T=2h,GRU,0.0,0.0045,0.2,0.2068
805,19,T=2h,GRU,0.0,0.0044,0.2,0.2007
805,20,T=2h,GRU,0.0,0.0343,0.2,0.2288
805,21,T=2h,GRU,0.0,0.0991,0.2,0.2961
805,22,T=2h,GRU,0.0,0.0776,0.2,0.2782
805,23,T=2h,GRU,0.2093,0.0621,0.3988,0.2657
806,0,T=2h,GRU,0.3,0.1488,0.6967,0.5431
806,1,T=2h,GRU,0.214,0.063,0.9,0.7606
806,2,T=2h,GRU,0.0,0.014,0.9,0.9055
806,3,T=2h,GRU,0.0,0.0002,0.9,0.9014
806,4,T=2h,GRU,0.0,-0.0008,0.9,0.902
806,5,T=2h,GRU,0.0,0.0007,0.9,0.8991
806,6,T=2h,GRU,0.0,-0.001,0.9,0.8968
806,7,T=2h,GRU,0.0,0.0028,0.9,0.9073
806,8,T=2h,GRU,0.0,-0.0082,0.9,0.899
806,9,T=2h,GRU,0.0,-0.016,0.9,0.8912
806,10,T=2h,GRU,-0.5,-0.4569,0.3737,0.4188
806,11,T=2h,GRU,0.0,-0.1202,0.3737,0.2565
806,12,T=2h,GRU,-0.165,-0.1247,0.2,0.2237
806,13,T=2h,GRU,0.0,0.0288,0.2,0.2472
806,14,T=2h,GRU,0.0,-0.0015,0.2,0.1956
806,15,T=2h,GRU,0.0,-0.0032,0.2,0.2006
806,16,T=2h,GRU,0.0,-0.008,0.2,0.1981
806,17,T=2h,GRU,0.0,-0.0057,0.2,0.1923
806,18,T=2h,GRU,0.0,-0.0105,0.2,0.189
806,19,T=2h,GRU,0.0,-0.0219,0.2,0.1852
806,20,T=2h,GRU,0.0,0.0919,0.2,0.2859
806,21,T=2h,GRU,0.0,0.1301,0.2,0.3253
806,22,T=2h,GRU,0.0,0.1691,0.2,0.3619
806,23,T=2h,GRU,0.2229,0.2829,0.4117,0.4787
807,0,T=2h,GRU,0.2903,0.2358,0.615,0.5619
807,1,T=2h,GRU,0.0,0.2497,0.615,0.8543
807,2,T=2h,GRU,0.3,0.2043,0.9,0.8151
807,3,T=2h,GRU,0.0,0.0142,0.9,0.9099
807,4,T=2h,GRU,0.0,-0.002,0.9,0.9022
807,5,T=2h,GRU,0.0,-0.0006,0.9,0.9026
807,6,T=2h,GRU,0.0,-0.0002,0.9,0.8982
807,7,T=2h,GRU,0.0,0.0027,0.9,0.9007
807,8,T=2h,GRU,0.0,0.0035,0.9,0.9011
807,9,T=2h,GRU,0.0,0.0017,0.9,0.9023
807,10,T=2h,GRU,0.0,-0.0004,0.9,0.8979
807,11,T=2h,GRU,0.0,-0.012,0.9,0.8997
807,12,T=2h,GRU,-0.5,-0.4325,0.3737,0.4451
807,13,T=2h,GRU,0.0,-0.1035,0.3737,0.2591
807,14,T=2h,GRU,-0.165,-0.1328,0.2,0.2194
807,15,T=2h,GRU,0.0,-0.0066,0.2,0.1919
807,16,T=2h,GRU,0.0,0.0039,0.2,0.2045
807,17,T=2h,GRU,0.0,-0.0014,0.2,0.2002
807,18,T=2h,GRU,0.0,0.0021,0.2,0.2051
807,19,T=2h,GRU,0.0,0.0027,0.2,0.1984
807,20,T=2h,GRU,0.0,0.0114,0.2,0.2073
807,21,T=2h,GRU,0.0,0.0678,0.2,0.2622
807,22,T=2h,GRU,0.0,0.118,0.2,0.315
807,23,T=2h,GRU,0.1466,0.1024,0.3392,0.3002
808,0,T=2h,GRU,0.0,-0.046,0.6433,0.5936
808,1,T=2h,GRU,0.0,0.0143,0.6433,0.6541
808,2,T=2h,GRU,0.2702,0.2929,0.9,0.9144
808,3,T=2h,GRU,0.0,-0.0078,0.9,0.891
808,4,T=2h,GRU,0.0,-0.0018,0.9,0.9009
808,5,T=2h,GRU,0.0,-0.0009,0.9,0.9026
808,6,T=2h,GRU,0.0,-0.0007,0.9,0.9012
808,7,T=2h,GRU,0.0,0.0019,0.9,0.899
808,8,T=2h,GRU,0.0,0.0033,0.9,0.9
808,9,T=2h,GRU,0.0,0.004,0.9,0.9031
808,10,T=2h,GRU,0.0,-0.0071,0.9,0.8931
808,11,T=2h,GRU,0.0,-0.1037,0.9,0.7821
808,12,T=2h,GRU,0.0,-0.0194,0.9,0.8879
808,13,T=2h,GRU,0.0,-0.0276,0.9,0.8776
808,14,T=2h,GRU,0.0,-0.0124,0.9,0.8947
808,15,T=2h,GRU,-0.5,-0.1853,0.3737,0.6972
808,16,T=2h,GRU,-0.165,-0.1428,0.2,0.2143
808,17,T=2h,GRU,0.0,0.0032,0.2,0.1963
808,18,T=2h,GRU,0.0,0.0035,0.2,0.2067
808,19,T=2h,GRU,0.0,0.0128,0.2,0.2
808,20,T=2h,GRU,0.0,0.0699,0.2,0.2674
808,21,T=2h,GRU,0.1667,0.1009,0.3583,0.2953
808,22,T=2h,GRU,0.0,0.1174,0.3583,0.4693
808,23,T=2h,GRU,0.3,0.1283,0.6433,0.4707
809,0,T=2h,GRU,0.0,0.0904,0.3576,0.4355
809,1,T=2h,GRU,0.2709,0.2673,0.615,0.615
809,2,T=2h,GRU,0.0,0.0922,0.615,0.7033
809,3,T=2h,GRU,0.3,0.2852,0.9,0.8847
809,4,T=2h,GRU,0.0,-0.015,0.9,0.8864
809,5,T=2h,GRU,0.0,-0.0016,0.9,0.9014
809,6,T=2h,GRU,0.0,-0.0013,0.9,0.9036
809,7,T=2h,GRU,0.0,0.0002,0.9,0.897
809,8,T=2h,GRU,0.0,0.0039,0.9,0.9005
809,9,T=2h,GRU,0.0,0.0045,0.9,0.903
809,10,T=2h,GRU,0.0,-0.0064,0.9,0.8929
809,11,T=2h,GRU,-0.165,-0.2353,0.7263,0.65
