DIA,HORA,HORIZONTE,MODELO,ACCION_REAL,ACCION_IA,SOC_REAL,SOC_IA
800,0,T=24h,LSTM,-0.4285,-0.4303,0.2,0.179
800,1,T=24h,LSTM,0.0,-0.025,0.2,0.1422
800,2,T=24h,LSTM,0.1368,0.0821,0.33,0.205
800,3,T=24h,LSTM,0.3,0.1723,0.615,0.423
800,4,T=24h,LSTM,0.0,0.2324,0.615,0.652
800,5,T=24h,LSTM,0.3,0.1976,0.9,0.8365
800,6,T=24h,LSTM,0.0,0.053,0.9,0.8881
800,7,T=24h,LSTM,0.0,0.023,0.9,0.8742
800,8,T=24h,LSTM,0.0,-0.0182,0.9,0.8977
800,9,T=24h,LSTM,0.0,-0.0077,0.9,0.8541
800,10,T=24h,LSTM,0.0,0.0056,0.9,0.9043
800,11,T=24h,LSTM,0.0,-0.0203,0.9,0.8538
800,12,T=24h,LSTM,0.0,0.0655,0.9,0.9098
800,13,T=24h,LSTM,0.0,-0.108,0.9,0.732
800,14,T=24h,LSTM,-0.165,-0.6072,0.7263,0.1374
800,15,T=24h,LSTM,-0.5,0.09,0.2,0.2645
800,16,T=24h,LSTM,0.0,-0.0679,0.2,0.2337
800,17,T=24h,LSTM,0.0,0.0186,0.2,0.2212
800,18,T=24h,LSTM,0.0,0.0058,0.2,0.2096
800,19,T=24h,LSTM,0.0,-0.0026,0.2,0.1866
800,20,T=24h,LSTM,0.0,0.0159,0.2,0.2048
800,21,T=24h,LSTM,0.0,0.0173,0.2,0.208
800,22,T=24h,LSTM,0.1747,0.2599,0.366,0.3953
800,23,T=24h,LSTM,0.3,0.2713,0.651,0.6599
801,0,T=24h,LSTM,-0.244,-0.1609,0.2,0.2872
801,1,T=24h,LSTM,0.0,0.0019,0.2,0.2718
801,2,T=24h,LSTM,0.3,0.1233,0.485,0.378
801,3,T=24h,LSTM,0.1368,0.1682,0.615,0.5302
801,4,T=24h,LSTM,0.3,0.1991,0.9,0.7371
801,5,T=24h,LSTM,0.0,0.1069,0.9,0.8383
801,6,T=24h,LSTM,0.0,0.036,0.9,0.8885
801,7,T=24h,LSTM,0.0,-0.0009,0.9,0.8983
801,8,T=24h,LSTM,0.0,0.0043,0.9,0.8962
801,9,T=24h,LSTM,0.0,-0.0177,0.9,0.8944
801,10,T=24h,LSTM,0.0,0.0016,0.9,0.9018
801,11,T=24h,LSTM,0.0,-0.0036,0.9,0.9031
801,12,T=24h,LSTM,0.0,0.0169,0.9,0.9219
801,13,T=24h,LSTM,0.0,0.0064,0.9,0.9408
801,14,T=24h,LSTM,-0.165,-0.1456,0.7263,0.7769
801,15,T=24h,LSTM,-0.5,-0.1926,0.2,0.5966
801,16,T=24h,LSTM,0.0,-0.1909,0.2,0.3865
801,17,T=24h,LSTM,0.0,-0.1831,0.2,0.2045
801,18,T=24h,LSTM,0.0,-0.0135,0.2,0.1933
