DIA,HORA,HORIZONTE,MODELO,ACCION_REAL,ACCION_IA,SOC_REAL,SOC_IA
800,0,T=2h,MLP,-0.4285,-0.4834,0.2,0.1379
800,1,T=2h,MLP,0.0,0.1302,0.2,0.3191
800,2,T=2h,MLP,0.1368,0.133,0.33,0.3358
800,3,T=2h,MLP,0.3,0.324,0.615,0.6524
800,4,T=2h,MLP,0.0,-0.0498,0.615,0.574
800,5,T=2h,MLP,0.3,0.3115,0.9,0.9591
800,6,T=2h,MLP,0.0,0.0049,0.9,0.9088
800,7,T=2h,MLP,0.0,0.0073,0.9,0.9114
800,8,T=2h,MLP,0.0,-0.028,0.9,0.873
800,9,T=2h,MLP,0.0,0.0063,0.9,0.906
800,10,T=2h,MLP,0.0,0.0018,0.9,0.8933
800,11,T=2h,MLP,0.0,-0.0041,0.9,0.9035
800,12,T=2h,MLP,0.0,0.0225,0.9,0.9197
800,13,T=2h,MLP,0.0,0.0087,0.9,0.9097
800,14,T=2h,MLP,-0.165,-0.2792,0.7263,0.5972
800,15,T=2h,MLP,-0.5,-0.4469,0.2,0.2308
800,16,T=2h,MLP,0.0,0.0042,0.2,0.2137
800,17,T=2h,MLP,0.0,0.0028,0.2,0.1937
800,18,T=2h,MLP,0.0,0.0,0.2,0.2002
800,19,T=2h,MLP,0.0,0.0046,0.2,0.2009
800,20,T=2h,MLP,-0.0,0.0023,0.2,0.1984
800,21,T=2h,MLP,-0.0,0.0022,0.2,0.2017
800,22,T=2h,MLP,0.1747,0.1468,0.366,0.3518
800,23,T=2h,MLP,0.3,0.3188,0.651,0.6804
801,0,T=2h,MLP,-0.244,-0.1717,0.2,0.2787
801,1,T=2h,MLP,0.0,0.0383,0.2,0.2343
801,2,T=2h,MLP,0.3,0.1199,0.485,0.3077
801,3,T=2h,MLP,0.1368,0.1551,0.615,0.6146
801,4,T=2h,MLP,0.3,0.2985,0.9,0.9124
801,5,T=2h,MLP,0.0,0.0195,0.9,0.9142
801,6,T=2h,MLP,0.0,0.0098,0.9,0.903
801,7,T=2h,MLP,0.0,0.0149,0.9,0.8989
801,8,T=2h,MLP,0.0,0.0065,0.9,0.9146
801,9,T=2h,MLP,0.0,0.0161,0.9,0.9163
801,10,T=2h,MLP,0.0,0.0195,0.9,0.9295
801,11,T=2h,MLP,0.0,-0.0371,0.9,0.855
801,12,T=2h,MLP,0.0,-0.0147,0.9,0.8971
801,13,T=2h,MLP,0.0,0.0173,0.9,0.9157
801,14,T=2h,MLP,-0.165,-0.3233,0.7263,0.5687
801,15,T=2h,MLP,-0.5,-0.3789,0.2,0.3215
801,16,T=2h,MLP,0.0,-0.0203,0.2,0.1857
801,17,T=2h,MLP,0.0,-0.0064,0.2,0.2052
801,18,T=2h,MLP,0.0,-0.0151,0.2,0.1973
801,19,T=2h,MLP,0.0,-0.0053,0.2,0.1979
801,20,T=2h,MLP,0.0,-0.001,0.2,0.2
801,21,T=2h,MLP,0.0,0.0075,0.2,0.2109
801,22,T=2h,MLP,0.2704,0.1068,0.4569,0.3063
801,23,T=2h,MLP,0.0,0.0224,0.4569,0.4773
802,0,T=2h,MLP,0.0,0.0062,0.3523,0.3521
802,1,T=2h,MLP,0.3,0.2962,0.6373,0.6231
802,2,T=2h,MLP,0.2765,0.0887,0.9,0.7236
802,3,T=2h,MLP,0.0,0.0053,0.9,0.9085
802,4,T=2h,MLP,0.0,0.0005,0.9,0.9066
802,5,T=2h,MLP,0.0,0.0027,0.9,0.8931
802,6,T=2h,MLP,0.0,-0.0046,0.9,0.8951
802,7,T=2h,MLP,0.0,-0.0154,0.9,0.8902
802,8,T=2h,MLP,0.0,-0.016,0.9,0.8877
802,9,T=2h,MLP,0.0,0.0131,0.9,0.9117
802,10,T=2h,MLP,0.0,-0.0005,0.9,0.8975
802,11,T=2h,MLP,-0.5,-0.3623,0.3737,0.5278
802,12,T=2h,MLP,-0.165,-0.0689,0.2,0.3037
802,13,T=2h,MLP,0.0,-0.0012,0.2,0.2053
802,14,T=2h,MLP,0.0,0.007,0.2,0.204
802,15,T=2h,MLP,0.0,0.0,0.2,0.1997
802,16,T=2h,MLP,-0.0,0.0245,0.2,0.2217
802,17,T=2h,MLP,0.0,0.0017,0.2,0.1989
802,18,T=2h,MLP,0.0,0.0112,0.2,0.2022
802,19,T=2h,MLP,0.0,0.014,0.2,0.2129
802,20,T=2h,MLP,0.0,-0.0,0.2,0.2013
802,21,T=2h,MLP,0.0,0.0394,0.2,0.2339
802,22,T=2h,MLP,-0.0,0.0469,0.2,0.2368
802,23,T=2h,MLP,0.1603,0.2082,0.3523,0.3957
803,0,T=2h,MLP,-0.1095,-0.0021,0.615,0.7236
803,1,T=2h,MLP,0.3,0.2853,0.9,0.9269
803,2,T=2h,MLP,0.0,-0.0215,0.9,0.8764
803,3,T=2h,MLP,0.0,-0.0034,0.9,0.8956
803,4,T=2h,MLP,0.0,0.0093,0.9,0.9048
803,5,T=2h,MLP,0.0,-0.0069,0.9,0.8877
