DIA,HORA,HORIZONTE,MODELO,ACCION_REAL,ACCION_IA,SOC_REAL,SOC_IA
800,0,T=4h,RNN,-0.4285,-0.5017,0.2,0.1678
800,1,T=4h,RNN,0.0,0.0711,0.2,0.2531
800,2,T=4h,RNN,0.1368,0.1007,0.33,0.2675
800,3,T=4h,RNN,0.3,0.3314,0.615,0.6445
800,4,T=4h,RNN,0.0,-0.0249,0.615,0.5609
800,5,T=4h,RNN,0.3,0.3705,0.9,0.9916
800,6,T=4h,RNN,0.0,0.0045,0.9,0.897
800,7,T=4h,RNN,0.0,0.0003,0.9,0.9084
800,8,T=4h,RNN,0.0,-0.0008,0.9,0.892
800,9,T=4h,RNN,0.0,0.0033,0.9,0.9005
800,10,T=4h,RNN,0.0,0.0081,0.9,0.9044
800,11,T=4h,RNN,0.0,0.0035,0.9,0.8981
800,12,T=4h,RNN,0.0,0.008,0.9,0.9133
800,13,T=4h,RNN,0.0,0.0072,0.9,0.8845
800,14,T=4h,RNN,-0.165,-0.3305,0.7263,0.5701
800,15,T=4h,RNN,-0.5,-0.5019,0.2,0.2135
800,16,T=4h,RNN,0.0,0.0022,0.2,0.2301
800,17,T=4h,RNN,0.0,-0.019,0.2,0.1804
800,18,T=4h,RNN,0.0,-0.0116,0.2,0.1956
800,19,T=4h,RNN,0.0,0.0062,0.2,0.2037
800,20,T=4h,RNN,0.0,-0.0037,0.2,0.1991
800,21,T=4h,RNN,0.0,0.0041,0.2,0.2101
800,22,T=4h,RNN,0.1747,0.1363,0.366,0.3126
800,23,T=4h,RNN,0.3,0.2934,0.651,0.6263
801,0,T=4h,RNN,-0.244,-0.179,0.2,0.2807
801,1,T=4h,RNN,0.0,0.0573,0.2,0.2369
801,2,T=4h,RNN,0.3,0.21,0.485,0.3894
801,3,T=4h,RNN,0.1368,0.1806,0.615,0.6559
801,4,T=4h,RNN,0.3,0.3207,0.9,0.9522
801,5,T=4h,RNN,0.0,0.0199,0.9,0.9113
801,6,T=4h,RNN,0.0,-0.0067,0.9,0.8954
801,7,T=4h,RNN,0.0,0.0072,0.9,0.9043
801,8,T=4h,RNN,0.0,0.012,0.9,0.9023
801,9,T=4h,RNN,0.0,0.0135,0.9,0.9051
801,10,T=4h,RNN,0.0,-0.0083,0.9,0.8943
801,11,T=4h,RNN,0.0,-0.0204,0.9,0.8896
801,12,T=4h,RNN,0.0,0.0053,0.9,0.8987
801,13,T=4h,RNN,0.0,-0.0062,0.9,0.8861
801,14,T=4h,RNN,-0.165,-0.2443,0.7263,0.6346
801,15,T=4h,RNN,-0.5,-0.3846,0.2,0.3352
801,16,T=4h,RNN,0.0,-0.0136,0.2,0.183
801,17,T=4h,RNN,0.0,0.0067,0.2,0.211
801,18,T=4h,RNN,0.0,-0.0004,0.2,0.1861
801,19,T=4h,RNN,0.0,0.007,0.2,0.2008
801,20,T=4h,RNN,0.0,-0.0012,0.2,0.1959
801,21,T=4h,RNN,0.0,0.0147,0.2,0.2183
801,22,T=4h,RNN,0.2704,0.119,0.4569,0.304
801,23,T=4h,RNN,0.0,0.0104,0.4569,0.4262
802,0,T=4h,RNN,0.0,0.0115,0.3523,0.3624
802,1,T=4h,RNN,0.3,0.2504,0.6373,0.6018
802,2,T=4h,RNN,0.2765,0.0691,0.9,0.694
802,3,T=4h,RNN,0.0,0.0037,0.9,0.9173
802,4,T=4h,RNN,0.0,0.0015,0.9,0.8982
802,5,T=4h,RNN,0.0,0.0024,0.9,0.8988
