DIA,HORA,PRECIO,SOLAR,DEMANDA,ACCION_REAL,ACCION_IA,SOC_REAL,SOC_IA,DIFERENCIA
800,0,40.2544,0.0,0.7868,-0.4285,-0.2684,0.2,0.377,0.177
800,1,23.5041,0.0,0.942,0.0,-0.0209,0.2,0.3819,0.1819
800,2,22.3374,0.0,0.898,0.1368,0.065,0.33,0.417,0.087
800,3,13.8331,0.0,1.0304,0.3,0.1936,0.615,0.6209,0.0059
800,4,27.7393,0.0,1.4278,0.0,0.1741,0.615,0.7553,0.1403
800,5,12.7073,0.0,1.5814,0.3,0.103,0.9,0.8286,0.0714
800,6,26.3239,0.0,1.5387,0.0,0.0312,0.9,0.897,0.003
800,7,25.7771,0.9437,1.7092,0.0,-0.0123,0.9,0.8775,0.0225
800,8,32.2552,1.8231,1.8257,0.0,-0.0055,0.9,0.8827,0.0173
800,9,41.8005,2.5782,1.7527,0.0,0.0224,0.9,0.9012,0.0012
800,10,48.7529,3.1576,1.9687,0.0,-0.0128,0.9,0.8804,0.0196
800,11,61.8545,3.5219,1.7887,0.0,-0.0017,0.9,0.8906,0.0094
800,12,62.5557,3.6461,1.8562,0.0,-0.0085,0.9,0.8831,0.0169
800,13,77.4934,3.5219,1.9699,0.0,-0.1868,0.9,0.6783,0.2217
800,14,82.7488,3.1576,1.7739,-0.165,-0.2781,0.7263,0.4044,0.3219
800,15,86.2517,2.5782,1.6626,-0.5,-0.035,0.2,0.3417,0.1417
800,16,73.7116,1.8231,1.6432,0.0,-0.0521,0.2,0.2584,0.0584
800,17,74.8686,0.9437,1.8014,0.0,-0.0655,0.2,0.1994,0.0006
800,18,72.3279,0.0,1.7336,0.0,0.0154,0.2,0.2,0.0
800,19,66.5983,0.0,1.3657,0.0,-0.0054,0.2,0.1861,0.0139
800,20,65.3841,0.0,1.3373,-0.0,0.0074,0.2,0.2029,0.0029
800,21,55.9375,0.0,1.0619,-0.0,-0.0001,0.2,0.1877,0.0123
800,22,43.1249,0.0,0.7571,0.1747,0.1727,0.366,0.3687,0.0027
800,23,38.0937,0.0,0.883,0.3,0.3158,0.651,0.6371,0.0139
801,0,32.2888,0.0,0.9064,-0.244,-0.2455,0.2,0.2369,0.0369
801,1,25.8137,0.0,1.2076,0.0,0.0412,0.2,0.2272,0.0272
801,2,20.4608,0.0,1.4102,0.3,0.1046,0.485,0.3442,0.1408
801,3,21.8102,0.0,1.1422,0.1368,0.1696,0.615,0.53,0.085
801,4,14.6695,0.0,1.325,0.3,0.2361,0.9,0.7263,0.1737
801,5,25.0595,0.0,1.3217,0.0,0.1193,0.9,0.8276,0.0724
801,6,23.1504,0.0,1.5797,0.0,0.0338,0.9,0.8895,0.0105
801,7,39.0786,1.6989,1.3321,0.0,0.0058,0.9,0.8971,0.0029
801,8,36.1711,3.2821,1.6713,0.0,-0.0051,0.9,0.9044,0.0044
801,9,42.9903,4.6416,1.9621,0.0,-0.0074,0.9,0.8772,0.0228
801,10,50.4858,5.6847,1.8018,0.0,-0.0148,0.9,0.8734,0.0266
801,11,58.4946,6.3405,2.0661,0.0,0.0044,0.9,0.9106,0.0106
801,12,69.7363,6.5642,2.078,0.0,-0.0256,0.9,0.8688,0.0312
801,13,72.8907,6.3405,2.0698,0.0,0.0007,0.9,0.8782,0.0218
801,14,81.189,5.6847,1.8569,-0.165,0.0305,0.7263,0.9195,0.1932
801,15,81.4229,4.6416,1.9683,-0.5,-0.2248,0.2,0.673,0.473
801,16,80.0009,3.2821,2.0273,0.0,-0.3285,0.2,0.3457,0.1457
801,17,79.6405,1.6989,1.5558,0.0,-0.0958,0.2,0.2082,0.0082
801,18,79.2896,0.0,1.3995,0.0,-0.0242,0.2,0.2068,0.0068
801,19,71.8166,0.0,1.345,0.0,-0.017,0.2,0.2038,0.0038
801,20,63.6898,0.0,1.2913,0.0,0.0007,0.2,0.2091,0.0091
801,21,56.7799,0.0,0.9919,0.0,0.014,0.2,0.194,0.006
801,22,42.6528,0.0,0.9988,0.2704,0.1133,0.4569,0.2919,0.165
801,23,49.9113,0.0,1.2354,0.0,0.1908,0.4569,0.4875,0.0306
802,0,27.5448,0.0,1.0945,0.0,0.275,0.3523,0.6203,0.268
802,1,19.9519,0.0,1.0301,0.3,0.2159,0.6373,0.8415,0.2042
802,2,26.5343,0.0,1.2659,0.2765,0.0538,0.9,0.8867,0.0133
802,3,30.5707,0.0,1.3182,0.0,0.036,0.9,0.8945,0.0055
802,4,40.6255,0.0,1.3683,0.0,0.0024,0.9,0.9088,0.0088
802,5,39.8136,0.0,1.1939,0.0,-0.0023,0.9,0.9258,0.0258
802,6,50.0974,0.0,1.6175,0.0,-0.0027,0.9,0.9066,0.0066
802,7,56.2074,1.2888,1.5991,0.0,0.004,0.9,0.9045,0.0045
802,8,62.6442,2.4897,1.6908,0.0,-0.0032,0.9,0.9057,0.0057
802,9,69.7438,3.521,1.7512,0.0,-0.0378,0.9,0.8899,0.0101
802,10,73.6698,4.3123,1.9073,0.0,0.0213,0.9,0.8876,0.0124
802,11,82.0356,4.8098,1.8891,-0.5,-0.1651,0.3737,0.715,0.3413
802,12,78.3693,4.9795,2.0255,-0.165,-0.4309,0.2,0.2824,0.0824
802,13,77.3131,4.8098,1.957,0.0,-0.1062,0.2,0.1742,0.0258
802,14,67.4669,4.3123,1.9661,0.0,0.0511,0.2,0.2281,0.0281
802,15,73.549,3.521,1.9365,0.0,-0.0251,0.2,0.2049,0.0049
802,16,56.199,2.4897,1.7058,-0.0,-0.015,0.2,0.1844,0.0156
802,17,55.9947,1.2888,1.5188,0.0,0.0115,0.2,0.2014,0.0014
802,18,53.1088,0.0,1.199,0.0,-0.0069,0.2,0.1979,0.0021
